70 248
0 0 -0.0002985290487234407
0 1 -0.004949058366465576
0 2 -0.005567356367289858
0 3 -0.005324761733286954
0 4 -0.005332206855086927
0 5 -0.0052894515462357065
0 6 -0.005516742545944574
0 7 -0.005459217193587899
0 8 -0.00604928502268479
0 9 -0.004868554353481522
0 10 -0.005180951759357017
0 11 -0.004737019948044454
0 12 -0.007839150846074344
0 13 -0.005748962416643831
0 14 -0.006105847755296562
0 15 -0.005037733154030431
0 16 -0.006648605799333451
0 17 -0.007909737632019227
0 18 -0.006575975904533013
0 19 -0.005580986924337218
0 20 -0.006005012806283827
0 21 -0.005640214968984277
0 22 -0.006124102324352156
0 23 -0.002912031347588866
0 24 -0.005788311201925383
0 25 -0.00558364488593592
0 26 -0.0057953324231719405
0 27 -0.0038243509629589958
0 28 -0.0054135525202000535
0 29 -0.00500162823692662
0 30 0.014545283545882767
0 31 -0.0005186440389498736
0 32 -0.006947850258346791
0 33 -0.0067591464222726974
0 34 -0.00540779553682231
0 35 -0.0038104881482376456
0 36 -0.003394899464595296
0 37 -0.005184252097848715
0 38 -0.005024001114994604
0 39 -0.005207603269366907
0 40 -0.0027213891760678594
0 41 -0.004439406378695214
0 42 -0.0053264141766608455
0 43 -0.005058262606412309
0 44 -0.005141452635191458
0 45 -0.005219366239676468
0 46 -0.0043600359639382495
0 47 -0.005454720515808002
0 48 -0.0052443657791700305
0 49 -0.004523766864997931
0 50 -0.007967787809794164
0 51 -0.007721249733890794
0 52 -0.006550996612788223
0 53 -0.006536945037749811
0 54 -0.005097041358437956
0 55 -0.006621387436172131
0 56 -0.005571479094428843
0 57 -0.006178943486192495
0 58 -0.005735337270803542
0 59 -0.011398892729393607
0 60 -0.005427448024443647
0 61 -0.0053256100119815405
0 62 0.007597467069746158
0 63 -0.005463971581092325
0 64 -0.0055739991091214
0 65 -0.005406310796191756
0 66 -0.007020856808827339
0 67 -0.0049048361451977515
0 68 0.018752388054269768
0 69 0.0015127664257088276
0 70 -0.0006284412120443715
0 71 -0.00039087344791063547
0 72 0.03543420179578476
0 73 -0.00457706788810136
0 74 -0.007201869923232526
0 75 0.016113441950434997
0 76 0.028668701970488455
0 77 -0.004873948426057548
0 78 -0.004892223423163449
