100 464
0 0 -0.0025295595691788397
0 1 -0.004091947401124838
0 2 -0.005466212054279287
0 3 -0.0030013272075340392
0 4 -0.002152591787070771
0 5 -0.0018213772233245872
0 6 -0.0031381910231240563
0 7 -0.001979844111606411
0 8 -0.002077671380749483
0 9 -0.001824368938058081
0 10 -0.00172585610928931
0 11 -0.0009873407589112942
0 12 -0.0018890789772306668
0 13 -0.0016685157450691468
0 14 -0.0021132801955175053
0 15 -0.002025184004647786
0 16 -0.0017141365508358574
0 17 -0.0017719369339768624
0 18 -0.0018685079327311895
0 19 -0.002127709025135453
0 20 -0.0021214518340338913
0 21 -0.0021383024053852587
0 22 -0.0020151486080388684
0 23 -0.001956822406797549
0 24 -0.0018384643100557818
0 25 -0.001886265646709793
0 26 -0.0015754895902320009
0 27 -0.0020783437624558514
0 28 -0.0016854290238472636
0 29 -0.0020102872600718897
0 30 -0.0019366391003942346
0 31 -0.0038707754309110845
0 32 -0.002051415400289856
0 33 -0.001753629826669628
0 34 -0.0018854312656886496
0 35 -0.0018791101027271604
0 36 -0.00232104148038136
0 37 -0.001648246082990717
0 38 -0.0022371659555645803
0 39 -0.0017657962311229366
0 40 -0.0018385434062787348
0 41 -0.0018331683399841502
0 42 -0.0019153600453529845
0 43 -0.0019331664928582079
0 44 -0.0018913720419910652
0 45 -0.0022001315756767083
0 46 -0.0020330573604811983
0 47 -0.0019211960774296363
0 48 -0.0010162304321111976
0 49 -0.00200357558672494
0 50 -0.0021427841991716553
0 51 -0.0020162540658421827
0 52 -0.0008774556854965308
0 53 -0.002101746488783603
0 54 -0.002100637912958243
0 55 -0.0013965615297803172
0 56 -0.0021617918062544436
0 57 -0.0020497330626494956
0 58 -0.0019270338768214378
0 59 -0.002179135563166274
0 60 -0.0022872434081364626
0 61 -0.0021784140173023124
0 62 -0.0036515177809473298
0 63 -0.0021837922695672213
0 64 -0.002435231737150912
0 65 -0.0022278152739152934
0 66 -0.0035957970810496505
0 67 -0.0022264064943166503
0 68 -0.0023145976725084945
0 69 -0.0023790136463284154
0 70 -0.0004952838681389798
0 71 -0.0021004925112724578
0 72 -0.002440554755091134
0 73 -0.002480387208763007
0 74 -0.002333074137758321
0 75 -0.0013340513580875801
0 76 -0.001993031526479205
0 77 -0.0021172426442299013
0 78 -0.0030618702615564223
0 79 -0.0021906926998939555
0 80 -0.0026539585996690892
0 81 -0.0021906179460322115
0 82 -0.002765210114678854
0 83 -0.002275474497258654
0 84 -0.0022302080140915097
0 85 -0.0021008138593019503
0 86 -0.002101080746641153
0 87 -0.0018752031132199228
0 88 -0.002243600210443008
0 89 -0.0023213889715402824
0 90 -0.002237351980407599
0 91 -0.0020258964532697803
0 92 -0.0019288708851878489
0 93 -0.0023505805743653774
0 94 -0.002091760693636232
0 95 -0.002662439075020678
0 96 -0.002297778950124697
0 97 -0.002337933827842084
0 98 -0.0021145136111087835
0 99 -0.00232376058509241
0 100 -0.0021277866314429457
0 101 -0.002357228622073058
0 102 -0.0023780617536911953
0 103 -0.002138209245295673
0 104 -0.002325126684996391
0 105 -0.0019308794764759853
0 106 -0.00239580557898903
0 107 -0.002452702372558355
0 108 -0.0022814577690744137
0 109 -0.0020444298488207107
0 110 -0.0021743247756393874
0 111 -0.002336435045555704
0 112 -0.0025266082013620556
0 113 -0.0025435727802903462
0 114 -0.002078254258967037
0 115 -0.0022131441874579418
0 116 -0.001738209267411853
0 117 -0.0016214314061144225
0 118 -0.0016727539040579018
0 119 -0.0011760442989479161
0 120 0.00032155862949248727
0 121 -0.0011066796593914327
0 122 0.002236540337838685
0 123 -0.0012614146526946568
0 124 0.0004499691306999167
0 125 0.000184759636232173
0 126 0.010043762119465394
0 127 -0.0016098473270608708
0 128 0.001061967825964992
0 129 -0.001556466809335558
0 130 -4.0636419791074984e-05
0 131 -0.0016133241506390628
0 132 0.5553625988383553
0 133 -0.0009738047411827446
0 134 0.0007323814874583339
0 135 -0.0012745341190572522
0 136 -0.0009369085990341189
0 137 0.006236067383474276
0 138 -0.00038801307232690807
0 139 -0.0016787714683139964
0 140 -0.0011806776620805562
0 141 -0.0007378041708185539
0 142 -0.00046938290556112886
0 143 -0.001031160760834083
0 144 0.00011841543086487634
0 145 -0.0017883791664066815
0 146 -0.0006445002029471582
0 147 0.13680081279064818
0 148 -0.0014562958714775785
0 149 -0.0007324687407602766
0 150 -0.0013419369490211342
0 151 -0.0013348721952995502
0 152 -0.0013619738704324473
0 153 0.0020539842447686646
0 154 -0.00035094237391746885
0 155 -0.0005955745556451628
0 156 -0.0012724858459519416
0 157 6.781487430263204e-05
0 158 -0.0007818182436639977
0 159 -0.0014660967791070192
0 160 0.00012284506232376156
0 161 -0.0011771483280974548
0 162 0.0012699479909801545
0 163 0.21059057749522314
0 164 -0.0020358180498520717
0 165 -0.0021787303298715847
0 166 -0.0021086824537009012
0 167 -0.0024186078810892147
0 168 -0.002310120863101078
0 169 -0.0022549442683463335
0 170 -0.002165228824106768
0 171 -0.002116439282663242
0 172 -0.0023986229996859534
0 173 -0.0020604734351836965
0 174 -0.0020034622775998295
0 175 -0.0022994255002774444
0 176 -0.00227245511468046
0 177 -0.002382800716023571
0 178 -0.002171484770552642
0 179 -0.002203591231536126
0 180 -0.0024828565474401907
0 181 -0.0020579745151086074
0 182 -0.0020495579760920397
